zone_name,zone_id,capacity,type
Zone_1,1,-1,1
Zone_2,2,-1,0
Zone_3,3,-1,0
Zone_4,4,-1,0
Zone_5,5,-1,0
Zone_6,6,-1,0
Zone_7,7,-1,0
Zone_8,8,-1,0
Zone_9,9,-1,0
Zone_10,10,-1,0
Zone_11,11,-1,0
Zone_12,12,-1,0
Zone_13,13,-1,0
Zone_14,14,-1,0
Zone_15,15,-1,0
Zone_16,16,-1,0
Zone_17,17,-1,0
Zone_18,18,-1,1
Zone_19,19,-1,1
Zone_20,20,-1,0
Zone_21,21,-1,0
Zone_22,22,-1,0
Zone_23,23,-1,0
Zone_24,24,-1,0
Zone_25,25,-1,0
Zone_26,26,-1,0
Zone_27,27,-1,0
Zone_28,28,-1,0
Zone_29,29,-1,0
Zone_30,30,-1,0
Zone_31,31,-1,0
Zone_32,32,-1,0
Zone_33,33,-1,0
Zone_34,34,-1,0
Zone_35,35,-1,0
Zone_36,36,-1,1
Zone_37,37,-1,1
Zone_38,38,-1,0
Zone_39,39,-1,0
Zone_40,40,-1,0
Zone_41,41,-1,0
Zone_42,42,-1,0
Zone_43,43,-1,0
Zone_44,44,-1,0
Zone_45,45,-1,0
Zone_46,46,-1,0
Zone_47,47,-1,0
Zone_48,48,-1,0
Zone_49,49,-1,0
Zone_50,50,-1,0
Zone_51,51,-1,0
Zone_52,52,-1,0
Zone_53,53,-1,0
Zone_54,54,-1,0
Zone_55,55,-1,0
Zone_56,56,-1,0
Zone_57,57,-1,0
Zone_58,58,-1,0
Zone_59,59,-1,0
Zone_60,60,-1,0
Zone_61,61,-1,0
Zone_62,62,-1,0
Zone_63,63,-1,0
Zone_64,64,-1,0
Zone_65,65,-1,0
Zone_66,66,-1,0
Zone_67,67,-1,0
Zone_68,68,-1,0
Zone_69,69,-1,0
Zone_70,70,-1,0
Zone_71,71,-1,0
Zone_72,72,-1,0
Zone_73,73,-1,1
Zone_74,74,-1,0
Zone_75,75,-1,0
Zone_76,76,-1,0
Zone_77,77,-1,0
Zone_78,78,-1,0
Zone_79,79,-1,0
Zone_80,80,-1,0
Zone_81,81,-1,0
Zone_82,82,-1,0
Zone_83,83,-1,0
Zone_84,84,-1,0
Zone_85,85,-1,0
Zone_86,86,-1,0
Zone_87,87,-1,0
Zone_88,88,-1,0
Zone_89,89,-1,0
Zone_90,90,-1,0
Zone_91,91,-1,0
Zone_92,92,-1,0
Zone_93,93,-1,0
Zone_94,94,-1,0
Zone_95,95,-1,0
Zone_96,96,-1,0
Zone_97,97,-1,0
Zone_98,98,-1,0
Zone_99,99,-1,0
Zone_100,100,-1,0
Zone_101,101,-1,0
Zone_102,102,-1,0
Zone_103,103,-1,0
Zone_104,104,-1,0
Zone_105,105,-1,0
Zone_106,106,-1,0
Zone_107,107,-1,0
Zone_108,108,-1,0
Zone_109,109,-1,0
Zone_110,110,-1,0
Zone_111,111,-1,0
Zone_112,112,-1,0
Zone_113,113,-1,1
Zone_114,114,-1,0
Zone_115,115,-1,0
Zone_116,116,-1,0
Zone_117,117,-1,0
Zone_118,118,-1,0
Zone_119,119,-1,0
Zone_120,120,-1,0
Zone_121,121,-1,0
Zone_122,122,-1,0
Zone_123,123,-1,0
Zone_124,124,-1,0
Zone_125,125,-1,0
Zone_126,126,-1,0
Zone_127,127,-1,0
Zone_128,128,-1,0
Zone_129,129,-1,0
Zone_130,130,-1,0
Zone_131,131,-1,0
Zone_132,132,-1,0
Zone_133,133,-1,0
Zone_134,134,-1,0
Zone_135,135,-1,0
Zone_136,136,-1,0
Zone_137,137,-1,0
Zone_138,138,-1,0
Zone_139,139,-1,0
Zone_140,140,-1,0
Zone_141,141,-1,0
Zone_142,142,-1,1
Zone_143,143,-1,1
Zone_144,144,-1,0
Zone_145,145,-1,0
Zone_146,146,-1,0
Zone_147,147,-1,0
Zone_148,148,-1,0
Zone_149,149,-1,0
Zone_150,150,-1,0
Zone_151,151,-1,0
Zone_152,152,-1,0
Zone_153,153,-1,0
Zone_154,154,-1,0
Zone_155,155,-1,0
Zone_156,156,-1,0
Zone_157,157,-1,0
Zone_158,158,-1,0
Zone_159,159,-1,0
Zone_160,160,-1,0
Zone_161,161,-1,0
Zone_162,162,-1,0
Zone_163,163,-1,0
Zone_164,164,-1,0
Zone_165,165,-1,1
Zone_166,166,-1,1
